_BAR,_ID,_nPointsPrice,_nIconIdx,_strID_desc
F1_HANDGUN,UPGRADE_PERK_HOLLOW_POINTS,12,66,PERK_HOLLOW_POINTS
F2_MELEE,UPGRADE_PERK_COMBATIVES,3,35,PERK_COMBATIVES
F2_MELEE,UPGRADE_PERK_LEG_DAY,7,36,PERK_LEG_DAY
F2_MELEE,UPGRADE_PERK_FEDERAL_JUSTICE,12,38,PERK_FEDERAL_JUSTICE
F3_BUREAUCRACY,UPGRADE_PERK_EVASION,5,39,PERK_EVASION
F3_BUREAUCRACY,UPGRADE_PERK_BIG_BANGER,9,53,PERK_BIG_BANGER
F3_BUREAUCRACY,UPGRADE_PERK_CHERRY_DARLING,12,61,PERK_CHERRY_DARLING
O1_SHOOTING,UPGRADE_PERK_SOFT_POINTS,2,71,PERK_SOFT_POINTS
O1_SHOOTING,UPGRADE_PERK_P_AMMO,7,72,PERK_PLUSP_AMMO
O1_SHOOTING,UPGRADE_PERK_OPEN_SEASON,12,73,PERK_OPEN_SEASON
O2_FITNESS,UPGRADE_PERK_REDHEAD,4,74,PERK_REDHEAD
O2_FITNESS,UPGRADE_PERK_GRIZZLY,8,75,PERK_GRIZZLY
O2_FITNESS,UPGRADE_PERK_LOCKED_OUT,12,76,PERK_LOCKED_OUT
O3_GEAR_BAG,UPGRADE_PERK_TWIXIE,6,77,PERK_TWIXIE
O3_GEAR_BAG,UPGRADE_PERK_PLATES_UPGRADE,9,78,PERK_PLATES_UPGRADE
O3_GEAR_BAG,UPGRADE_PERK_GARAND_AP_AMMO,12,79,PERK_GARAND_AP_AMMO
