"sitemType","sClass","bIsSpecial","sID","sHUDanimName","sHUDanimNameIcon","fSpeedPenaltyPercent","sMuzzleFlashAnim","sTemplateOverwrite","sScript_OnFire","sScript_OnEmpty","sScript_OnFireALT","Sync","mSync","bAnimSync","bBulletChamber","fShooterSpeedSlowingPercent","fAimFOV","fMuzzleLightSize","bHasLaserSight","fSpreadFOV","fAimErrorMaxFOV","fAimErrorAddPerShot","fAimErrorMulPerShot","fAimErrorCooldownPerSec","nClipSize","nReloadUnitSize","fReloadTimePerUnit","fFireRatePerSec","bCanResetFireRate","nBurstSize","sActorShootVerse","bCanShootFromCrouch","bCanShootFromCover","bCanShootFromAir","bCanShootFromLadders","nDropShellFrame","bUsesMainWeaponAmmo","sSndShoot","sSndShoot2","sSndReload","sSndReload2","sSndEmpty","sSndEmpty2","sBulletType","nBulletsPerShot","fBulletDamage","fBulletDamageObjects","nArmorPiercingRating","fBulletDamageLossPPx","fBulletLife","fBulletMomentum","fBulletCriticalChance","fBulletStunDuration","fBulletSpeed","sBulletExploTemplate","bBulletDirectional","bBulletIgnoreArmor","bBulletIgnoreCover","bBulletDieOnImpact","bBulletCanSplat","fBulletSelfDamageMultiplier","fSoundRadius"
"Gun","Shield","","WPN_PISTOL_FIVESEVEN","WEAPON_PISTOL_FIVESEVEN","","","MUZZLE_S1","","","","","","","false","true","0.12","","1.0","","0.065","0.2","0.01","1.1","1.4","20","20","1.8","6.2","true","0","","true","false","true","false","0","","GUN_FIVESEVEN_01","GUN_FIVESEVEN_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","26.0","","3","0.0","0.25","0.02","0.0","0.0","1000.0","","","false","false","true","","","160.0"
"Gun","Agent","","WPN_FBI_REVOLVER","WEAPON_FBI_REVOLVER","","","MUZZLE_GUN","","","","","","","false","false","0.0","","1.0","","0.015","0.3","1","1.2","1.6","6","6","1.2","4.2","false","0","","true","false","true","false","0","","GUN_MAGNUM_44_01","GUN_MAGNUM_44_02","RELOAD_REVOLVER","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","66.0","","1","0.085","0.25","1.5","0.0","0.16","1000.0","","","false","false","true","","","160.0"
"Gun","Agent","","WPN_FBI_REVOLVER_AIMED","","WPNALT_AIMED","","","UPGRADE_FBI_REVOLVER_AIMED","","","","","","true","","100.0","","1.0","true","0.0","0.0","0.0","","1.0","-1","","","0.5","false","0","","true","false","false","false","0","true","GUN_MAGNUM_44_01","","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER_AIMED_SHOT","1","150.0","","5","0.0","0.3","0.5","0.0","0.05","1000.0","","","false","false","true","","","240.0"
"Gun","Agent","","WPN_PISTOL_G19M_FBI","WEAPON_PISTOL_G17","","","MUZZLE_GUN","","","","","","","false","true","0.0","","1.0","","0.03","0.23","0.15","1.25","1.7","15","15","1.5","5.5","true","0","","true","false","true","false","0","","GUN_GLOCK19M_01","GUN_GLOCK19M_02","RELOAD_REVOLVER","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","33.0","","1","0.08","0.24","0.5","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Agent","","WPN_PISTOL_MP40_FBI","WEAPON_PISTOL_MP40","","","MUZZLE_S1","","","","","","","false","true","0.0","","1.0","","0.03","0.23","0.15","1.3","1.7","15","15","1.5","5.1","true","0","","true","false","true","false","0","","GUN_MP40_01","GUN_MP40_02","RELOAD_REVOLVER","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","40.0","","1","0.10","0.25","0.08","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Agent","","WPN_PISTOL_1911_FBI","WEAPON_PISTOL_1911","","","MUZZLE_S1","","","","","","","false","true","0.0","","1.0","","0.03","0.65","0.3","1.5","3","7","7","1.3","5.0","true","0","","true","false","true","false","0","","GUN_1911_45ACP_01","GUN_1911_45ACP_02","RELOAD_REVOLVER","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","51.0","","0","0.011","0.25","0.09","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Agent","","WPN_PISTOL_MODEL1076_FBI","WEAPON_PISTOL_M1076","","","MUZZLE_S1","","","","","","","false","true","0.0","","1.0","","0.03","0.4","0.25","1.6","2.0","11","11","1.3","4.0","true","0","","true","false","true","false","0","","GUN_SW1076_10MM_01","GUN_SW1076_10MM_02","RELOAD_REVOLVER","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","54.0","","1","0.1","0.25","0.08","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Agent","","WPN_PISTOL_FIVESEVEN_FBI","WEAPON_PISTOL_FIVESEVEN","","","MUZZLE_S1","","","","","","","false","true","0.1","","1.0","","0.05","0.2","0.05","1.5","1.4","20","20","1.4","6.2","true","0","","true","false","true","false","0","","GUN_FIVESEVEN_01","GUN_FIVESEVEN_02","RELOAD_REVOLVER","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","26.0","","3","0.0","0.25","0.0","0.0","0.0","1000.0","","","false","false","true","","","160.0"
"Gun","Agent","","WPN_PISTOL_G18C_FBI","WEAPON_G18C_AUTO_PISTOL","","","MUZZLE_SMG1","","","","","","","false","true","0.0","","1.0","","0.025","0.35","0.035","1.8","1.7","19","19","1.6","16.0","false","0","","true","false","true","false","0","","GUN_GLOCK_17_01","GUN_GLOCK_17_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","30.0","","1","0.095","0.24","0.06","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Recon","","WPN_SMG_MP5SD","WEAPON_SMG_MP5_SD","","0.0","MUZZLE_SILENT2","","","","","","","false","true","0.2","","0.5","","0.08","0.18","0.01","1.11","0.74","30","30","1.9","11.6","false","0","","true","false","true","false","0","","GUN_MP5SD_01","GUN_MP5SD_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","15.0","","0","0.0","0.16","0.0","0.0","0.02","800.0","","","false","false","true","","","50.0"
"Gun","Recon","","WPN_RECONMP5SD_STEADY","","WPNALT_AIMED","","","UPGRADE_RECON_AIMED","","","","","","true","","100.0","","0.5","true","0.0","0.0","0.0","","1.0","-1","","","0.5","false","0","","true","false","false","false","0","true","GUN_MP5SD_02","","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER_AIMED_SHOT","1","100.0","","5","0.0","0.225","0.5","0.0","0.05","800.0","","","false","false","true","","","50.0"
"Gun","Recon","","WPN_MP5SD_AIMED","","WPNALT_RECON_AIMED","","MUZZLE_SILENT2","","","","","","","false","","0.2","","0.5","","0.018","0.28","0.015","1.12","0.74","-1","","","9.0","false","0","","true","false","true","false","0","true","GUN_MP5SD_01","GUN_MP5SD_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER_RECON","1","20.0","","0","0.03","0.225","0.0","0.0","0.025","800.0","","","false","false","true","","","50.0"
"Gun","Recon","","WPN_SMG_MP7SD","WEAPON_SMG_MP7_SD","","0.0","MUZZLE_SILENT2","","","","","","","false","true","0.2","","0.5","","0.08","0.21","0.011","1.12","0.74","30","30","1.8","15.0","false","0","","true","false","true","false","0","","GUN_MP7SD_01","GUN_MP7SD_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","15.5","","3","0.0","0.12","0.01","0.0","0.025","1500.0","","","false","false","true","","","84.0"
"Gun","Recon","","WPN_MP7SD_AIMED","","WPNALT_RECON_AIMED","","MUZZLE_SILENT2","","","","","","","false","","0.2","","0.5","","0.024","0.24","0.012","1.12","0.74","-1","","","7.5","false","0","","true","false","true","false","0","true","GUN_MP7SD_01","GUN_MP7SD_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER_RECON","1","17.0","","3","0.0","0.21","0.01","0.0","0.025","1500.0","","","false","false","true","","","84.0"
"Gun","Recon","","WPN_SMG_UZI","WEAPON_SMG_UZI_SD","","0.0","MUZZLE_SMG1","","","","","","","false","false","0.2","","1.0","","0.08","0.28","0.015","1.12","0.74","25","25","1.5","11.0","false","0","","true","false","true","false","0","","GUN_UZI_SMG_01","GUN_UZI_SMG_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","20.0","","1","0.0","0.13","0.02","0.0","0.025","1000.0","","","false","false","true","","","240.0"
"Gun","Recon","","WPN_UZI_AIMED","","WPNALT_RECON_AIMED","","MUZZLE_SMG1","","","","","","","false","","0.2","","1.0","","0.025","0.28","0.013","2.25","0.74","-1","","","8.0","false","0","","true","false","true","false","0","true","GUN_UZI_SMG_01","GUN_UZI_SMG_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER_RECON","1","25.0","","1","0.01","0.19","0.02","0.0","0.025","1000.0","","","false","false","true","","","240.0"
"Gun","Recon","","WPN_SMG_CBJ","WEAPON_SMG_CBJ_SD","","0.0","MUZZLE_SMG1","","","","","","","false","false","0.2","","1.0","","0.1","0.3","0.015","1.13","0.74","30","30","1.5","11.6","false","0","","true","false","true","false","0","","GUN_CBJMS_01","GUN_CBJMS_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","17.0","","4","0.0","0.12","0.02","0.0","0.03","1000.0","","","false","false","true","","","240.0"
"Gun","Recon","","WPN_CBJ_AIMED","","WPNALT_RECON_AIMED","","MUZZLE_SMG1","","","","","","","false","","0.2","","1.0","","0.06","0.28","0.019","1.25","0.74","-1","","","8.0","false","0","","true","false","true","false","0","true","GUN_CBJMS_01","GUN_CBJMS_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER_RECON","1","20.0","","4","0.0","0.21","0.02","0.0","0.03","1000.0","","","false","false","true","","","240.0"
"Gun","Recon","","WPN_SMG_MP9SD","WEAPON_SMG_MP9_SD","","0.0","MUZZLE_SILENT2","","","","","","","false","true","0.2","","0.5","","0.1","0.3","0.01","1.12","0.74","25","25","1.65","18.3","false","0","","true","false","true","false","0","","GUN_MP9SD_01","GUN_MP9SD_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","15.5","","1","0.0","0.12","0.015","0.0","0.019","1000.0","","","false","false","true","","","64.0"
"Gun","Recon","","WPN_MP9SD_AIMED","","WPNALT_RECON_AIMED","","MUZZLE_SILENT2","","","","","","","false","","0.2","","0.5","","0.05","0.25","0.02","1.25","0.74","-1","","","9.0","false","0","","true","false","true","false","0","true","GUN_MP9SD_01","GUN_MP9SD_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER_RECON","1","18.0","","1","0.0","0.19","0.015","0.0","0.019","1000.0","","","false","false","true","","","64.0"
"Gun","Recon","","WPN_SHOTGUN_SIX12SD","WEAPON_SIX12SUPR","","","MUZZLE_SILENT2","UPGRADE_RECON_SIX12","","WPNSCRIPT_RESET_WEAPONS","WPNSCRIPT_RESET_WEAPONS","","","true","false","0.15","","0.5","","0.16","0.3","0.1","1.95","1.2","6","0","2.4","2.2","false","0","","true","false","true","false","1","","GUN_SIX12_SD_01","GUN_SIX12_SD_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","9","15.0","16.0","0","0.015","0.11","0.2","","0.11","900.0","","","false","false","false","true","0.02","64.0"
"Gun","ODG","","WPN_SHOTGUN_HDEFENSE","WEAPON_SHOTGUN_HDEFENSE","","","MUZZLE_M1","","","","WPNSCRIPT_ALT_ONLY","","","true","false","0.3","","1.0","","0.1","0.5","0.05","1.35","0.4","8","1","0.4","1.8","false","0","","true","false","true","false","1","","GUN_MOSSBERG_590A_01","GUN_MOSSBERG_590A_02","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","8","18.0","15.0","0","0.016","0.18","0.5","","0.1","900.0","","","false","false","false","true","0.2","300.0"
"Gun","ODG","","WPN_SHOTGUN_SLUG_HDEFENSE","WEAPON_SHOTGUN_SLUG_M590","WPNALT_SLUG","","MUZZLE_M1","UPGRADE_SHOTGUN_ALT_SLUG","","WPNSCRIPT_RESET_WEAPONS","","","","true","","100.0","","1.0","","0.03","0.0","0.0","","1.0","-1","","","0.5","false","0","","true","false","true","false","2","","GUN_SLUG_01","GUN_SLUG_02","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN_SLUG","1","200.0","","1","0.0","0.7","1.8","","0.05","525.0","","","false","false","","true","","240.0"
"Gun","ODG","","WPN_TRUNK_CARBINE","WEAPON_TRUNK_CARBINE","","0.04","MUZZLE_SMG1","","","","","","","false","true","0.2","","1.0","","0.003","0.45","0.1","3.8","2.5","30","30","1.4","6.0","true","0","","true","false","true","false","0","","GUN_M4_01","GUN_M4_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","45.0","","3","0.05","0.4","0.02","0.0","0.025","1000.0","","","false","false","true","","","240.0"
"Gun","ODG","","WPN_TRAPPER_RIFLE","WEAPON_TRAPPER","","-0.06","MUZZLE_S1","UPGRADE_OFFDUTY_TRAPPER","","","","","","true","false","0.2","","1.0","","0.05","0.25","0.012","1.12","0.7","10","1","0.45","1.95","false","0","","true","false","true","false","0","","TRAPPER01","TRAPPER02","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN_SLUG","1","89.0","","1","0.05","0.4","4.1","0.0","0.15","1000.0","","","false","false","true","","","240.0"
